disease_class,crop,disease_name,symptoms,symptoms_hi,symptoms_hinglish,management,management_hi,management_hinglish,prevention,prevention_hi,prevention_hinglish,source
Sugarcane___Mosaic,Sugarcane,Mosaic,Leaves may show irregular light and dark green mosaic-like patterns.,पत्तियों पर अनियमित हल्के और गहरे हरे रंग के मोज़ेक जैसे पैटर्न दिखाई दे सकते हैं।,Leaves par irregular light aur dark green mosaic-like patterns dikh sakte hain.,Use healthy planting material and manage infected plants according to local sugarcane disease-management recommendations.,स्वस्थ रोपण सामग्री का उपयोग करें और संक्रमित पौधों का प्रबंधन स्थानीय गन्ना रोग-प्रबंधन सिफारिशों के अनुसार करें।,Healthy planting material use karo aur infected plants ko local sugarcane disease-management recommendations ke according manage karo.,Use healthy seed cane and monitor fields for symptomatic plants.,स्वस्थ बीज-गन्ने का उपयोग करें और लक्षण वाले पौधों के लिए खेत की निगरानी करें।,Healthy seed cane use karo aur symptomatic plants ke liye fields monitor karo.,TNAU Agritech
Sugarcane___RedRot,Sugarcane,Red Rot,Leaves may change from green to orange or yellow and dry from the lower portion upward. Split canes can show reddish internal tissue with intermittent white areas.,पत्तियां हरे से नारंगी या पीली होकर नीचे के हिस्से से ऊपर की ओर सूख सकती हैं। गन्ने को काटने पर अंदर लाल रंग का ऊतक और बीच-बीच में सफेद हिस्से दिखाई दे सकते हैं।,Leaves green se orange ya yellow ho sakti hain aur lower portion se upward dry ho sakti hain. Cane split karne par reddish internal tissue aur beech-beech mein white areas dikh sakte hain.,"Use healthy setts, remove affected clumps early, maintain field sanitation, and follow local agricultural recommendations.","स्वस्थ सेट का उपयोग करें, प्रभावित गुच्छों को जल्दी हटाएं, खेत की स्वच्छता बनाए रखें और स्थानीय कृषि सिफारिशों का पालन करें।","Healthy setts use karo, affected clumps jaldi remove karo, field sanitation maintain karo aur local agricultural recommendations follow karo.",Use disease-free planting material and resistant or moderately resistant varieties where recommended.,रोग-मुक्त रोपण सामग्री तथा जहां अनुशंसित हो प्रतिरोधी या मध्यम प्रतिरोधी किस्मों का उपयोग करें।,Disease-free planting material use karo aur recommended ho to resistant ya moderately resistant varieties use karo.,TNAU Agritech
Sugarcane___Rust,Sugarcane,Rust,"Small elongated yellowish spots can develop on leaves and later become brown, orange-brown, or red-brown, producing a rusty appearance.","पत्तियों पर छोटे लंबे पीले धब्बे बन सकते हैं और बाद में वे भूरे, नारंगी-भूरे या लाल-भूरे होकर जंग जैसे दिखाई दे सकते हैं।","Leaves par small elongated yellowish spots develop ho sakte hain aur baad mein brown, orange-brown ya red-brown hokar rusty appearance de sakte hain.",Use resistant varieties where available and remove severely affected leaves according to local guidance.,जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें और स्थानीय दिशानिर्देशों के अनुसार गंभीर रूप से प्रभावित पत्तियां हटाएं।,Available ho to resistant varieties use karo aur local guidance ke according severely affected leaves remove karo.,Monitor foliage regularly and avoid planting highly susceptible varieties in high-risk situations.,पत्तियों की नियमित निगरानी करें और उच्च जोखिम वाली परिस्थितियों में अत्यधिक संवेदनशील किस्में लगाने से बचें।,Foliage ko regularly monitor karo aur high-risk situations mein highly susceptible varieties avoid karo.,TNAU Agritech
Sugarcane___Yellow,Sugarcane,Yellow Disease,Yellowing and abnormal discoloration of sugarcane foliage may occur.,गन्ने की पत्तियों में पीलापन और असामान्य रंग परिवर्तन हो सकता है।,Sugarcane foliage mein yellowing aur abnormal discoloration ho sakta hai.,Confirm the suspected disease with an agricultural diagnostic service because yellowing can have multiple causes.,कृषि निदान सेवा से संदिग्ध बीमारी की पुष्टि कराएं क्योंकि पीलापन कई कारणों से हो सकता है।,Suspected disease ko agricultural diagnostic service se confirm karao kyunki yellowing ke multiple causes ho sakte hain.,Use healthy planting material and monitor crop health regularly.,स्वस्थ रोपण सामग्री का उपयोग करें और फसल के स्वास्थ्य की नियमित निगरानी करें।,Healthy planting material use karo aur crop health regularly monitor karo.,General plant-health guidance
Tomato___Bacterial_spot,Tomato,Bacterial Spot,"Small dark spots can develop on leaves, stems, and fruit. Multiple leaf-spot diseases can look similar.","पत्तियों, तनों और फलों पर छोटे गहरे धब्बे बन सकते हैं। कई पत्ती-धब्बा रोग एक जैसे दिखाई दे सकते हैं।","Leaves, stems aur fruits par small dark spots develop ho sakte hain. Multiple leaf-spot diseases similar dikh sakti hain.","Remove severely affected material where practical, avoid unnecessary overhead irrigation, and use locally recommended management practices.","जहां संभव हो गंभीर रूप से प्रभावित हिस्से हटाएं, अनावश्यक ऊपर से सिंचाई से बचें और स्थानीय रूप से अनुशंसित प्रबंधन पद्धतियों का उपयोग करें।","Jahan possible ho severely affected material remove karo, unnecessary overhead irrigation avoid karo aur locally recommended management practices use karo.",Use healthy seed or transplants and maintain field sanitation.,स्वस्थ बीज या पौध का उपयोग करें और खेत की स्वच्छता बनाए रखें।,Healthy seed ya transplants use karo aur field sanitation maintain karo.,University of Minnesota Extension
Tomato___Early_blight,Tomato,Early Blight,Brown leaf spots with concentric rings commonly begin on older lower leaves and can expand upward.,"भूरे पत्ती-धब्बे जिनमें गोल-गोल छल्लों जैसे पैटर्न होते हैं, आमतौर पर पुरानी निचली पत्तियों पर शुरू होते हैं और ऊपर की ओर फैल सकते हैं।",Brown leaf spots with concentric rings usually older lower leaves par start hote hain aur upward spread ho sakte hain.,"Improve airflow, remove affected lower leaves where appropriate, use crop rotation, and follow locally approved disease-management guidance.","वायु संचार सुधारें, जहां उचित हो प्रभावित निचली पत्तियां हटाएं, फसल चक्र अपनाएं और स्थानीय रूप से स्वीकृत रोग-प्रबंधन दिशानिर्देशों का पालन करें।","Airflow improve karo, jahan appropriate ho affected lower leaves remove karo, crop rotation use karo aur locally approved disease-management guidance follow karo.","Use healthy planting material, avoid working plants when foliage is wet, and maintain crop rotation.","स्वस्थ रोपण सामग्री का उपयोग करें, गीली पत्तियों पर काम करने से बचें और फसल चक्र बनाए रखें।","Healthy planting material use karo, wet foliage par kaam karne se bacho aur crop rotation maintain karo.",University of Minnesota Extension
Tomato___healthy,Tomato,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular crop scouting and maintain balanced irrigation and nutrition.,नियमित फसल निगरानी जारी रखें और संतुलित सिंचाई तथा पोषण बनाए रखें।,Regular crop scouting continue karo aur balanced irrigation aur nutrition maintain karo.,"Maintain airflow, sanitation, and regular monitoring.","वायु संचार, स्वच्छता और नियमित निगरानी बनाए रखें।","Airflow, sanitation aur regular monitoring maintain karo.",General crop-health guidance
Tomato___Late_blight,Tomato,Late Blight,"Dark or water-soaked lesions can develop rapidly on leaves and stems, particularly during cool and wet conditions.","पत्तियों और तनों पर गहरे या पानी से भीगे हुए घाव तेजी से विकसित हो सकते हैं, विशेष रूप से ठंडे और नम मौसम में।","Leaves aur stems par dark ya water-soaked lesions rapidly develop ho sakte hain, especially cool aur wet conditions mein.","Scout frequently, remove affected material where appropriate, and follow locally approved late-blight management recommendations.","नियमित रूप से फसल की जांच करें, जहां उचित हो प्रभावित हिस्से हटाएं और स्थानीय रूप से स्वीकृत लेट ब्लाइट प्रबंधन दिशानिर्देशों का पालन करें।","Crop ko regularly scout karo, jahan appropriate ho affected parts remove karo aur locally approved late-blight management guidelines follow karo.","Maintain airflow, avoid unnecessary leaf wetness, and monitor weather conditions favorable to disease development.","उचित वायु संचार बनाए रखें, पत्तियों में अनावश्यक नमी से बचें और बीमारी के विकास के अनुकूल मौसम की निगरानी करें।","Proper airflow maintain karo, unnecessary leaf wetness avoid karo aur disease development ke favorable weather conditions monitor karo.",General plant pathology guidance
Tomato___Leaf_Mold,Tomato,Leaf Mold,Yellowish patches may appear on upper leaf surfaces with olive-green to brown fungal growth on lower leaf surfaces.,पत्तियों की ऊपरी सतह पर पीले धब्बे दिखाई दे सकते हैं और नीचे की सतह पर जैतूनी-हरे से भूरे रंग की फफूंद बढ़ सकती है।,Upper leaf surfaces par yellowish patches aa sakte hain aur lower surfaces par olive-green se brown fungal growth ho sakti hai.,Improve airflow and reduce prolonged leaf wetness. Remove severely affected leaves where appropriate.,वायु संचार सुधारें और लंबे समय तक पत्तियों की नमी कम करें। जहां उचित हो गंभीर रूप से प्रभावित पत्तियां हटाएं।,Airflow improve karo aur prolonged leaf wetness reduce karo. Jahan appropriate ho severely affected leaves remove karo.,Maintain adequate spacing and ventilation and avoid excessive humidity.,पौधों के बीच पर्याप्त दूरी और वेंटिलेशन बनाए रखें तथा अत्यधिक नमी से बचें।,Adequate spacing aur ventilation maintain karo aur excessive humidity avoid karo.,General plant pathology guidance
Tomato___Septoria_leaf_spot,Tomato,Septoria Leaf Spot,"Small circular leaf spots can develop, often with darker margins and lighter centers. Older lower leaves are commonly affected first.","पत्तियों पर छोटे गोल धब्बे बन सकते हैं, अक्सर गहरे किनारों और हल्के केंद्र के साथ। पुरानी निचली पत्तियां आमतौर पर पहले प्रभावित होती हैं।","Leaves par small circular spots develop ho sakte hain, often darker margins aur lighter centers ke saath. Older lower leaves commonly pehle affected hoti hain.","Remove affected leaves where appropriate, improve airflow, and maintain crop sanitation.","जहां उचित हो प्रभावित पत्तियां हटाएं, वायु संचार सुधारें और फसल की स्वच्छता बनाए रखें।","Jahan appropriate ho affected leaves remove karo, airflow improve karo aur crop sanitation maintain karo.","Use crop rotation, avoid overhead watering, and avoid working among wet plants.","फसल चक्र अपनाएं, ऊपर से सिंचाई से बचें और गीले पौधों के बीच काम करने से बचें।","Crop rotation use karo, overhead watering avoid karo aur wet plants ke beech kaam na karo.",University of Minnesota Extension
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Two-Spotted Spider Mite Damage,"Leaves can show fine stippling, yellowing, bronzing, and webbing under heavy infestation.","पत्तियों पर बारीक बिंदु जैसे निशान, पीलापन, कांस्य रंग और अधिक संक्रमण में जाला दिखाई दे सकता है।","Leaves par fine stippling, yellowing, bronzing aur heavy infestation mein webbing dikh sakti hai.",Inspect leaf undersides and use an integrated pest-management approach appropriate for the crop and local conditions.,पत्तियों की निचली सतह की जांच करें और फसल तथा स्थानीय परिस्थितियों के अनुसार उचित एकीकृत कीट प्रबंधन अपनाएं।,Leaves ki undersides inspect karo aur crop aur local conditions ke according integrated pest management use karo.,Monitor plants regularly and reduce conditions that favor mite outbreaks.,पौधों की नियमित निगरानी करें और उन परिस्थितियों को कम करें जो माइट के प्रकोप को बढ़ावा देती हैं।,Plants ko regularly monitor karo aur mite outbreaks ko favor karne wali conditions reduce karo.,General integrated pest management guidance
Tomato___Target_Spot,Tomato,Target Spot,Circular brown lesions with concentric rings can occur on leaves and other plant parts.,पत्तियों और पौधे के अन्य हिस्सों पर गोल भूरे घाव बन सकते हैं जिनमें गोल-गोल छल्लों जैसे पैटर्न होते हैं।,Leaves aur plant ke other parts par circular brown lesions ho sakte hain jinmein concentric rings hote hain.,"Remove affected material where practical, improve airflow, and follow locally recommended disease-management practices.","जहां संभव हो प्रभावित हिस्से हटाएं, वायु संचार सुधारें और स्थानीय रूप से अनुशंसित रोग-प्रबंधन पद्धतियों का पालन करें।","Jahan possible ho affected material remove karo, airflow improve karo aur locally recommended disease-management practices follow karo.",Avoid prolonged leaf wetness and maintain crop sanitation.,लंबे समय तक पत्तियों की नमी से बचें और फसल की स्वच्छता बनाए रखें।,Prolonged leaf wetness avoid karo aur crop sanitation maintain karo.,General plant pathology guidance
Tomato___Tomato_mosaic_virus,Tomato,Tomato Mosaic Virus,"Leaves may show mottled light and dark green patterns, distortion, and reduced plant growth.","पत्तियों पर हल्के और गहरे हरे रंग के चितकबरे पैटर्न, विकृति और पौधे की कम वृद्धि दिखाई दे सकती है।","Leaves par light aur dark green mottled patterns, distortion aur reduced plant growth dikh sakti hai.",Remove and isolate symptomatic plants where appropriate and maintain strict sanitation.,जहां उचित हो लक्षण वाले पौधों को हटाकर अलग करें और सख्त स्वच्छता बनाए रखें।,Jahan appropriate ho symptomatic plants remove karke isolate karo aur strict sanitation maintain karo.,"Use clean seed and transplants, sanitize tools and hands, and avoid spreading plant sap between plants.","स्वच्छ बीज और पौध का उपयोग करें, औजारों और हाथों को साफ रखें और पौधों के बीच रस के फैलाव से बचें।","Clean seed aur transplants use karo, tools aur hands sanitize karo aur plants ke beech sap spread hone se bacho.",General plant pathology guidance
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,"Leaves may curl upward, become yellow, and show reduced growth. Young leaves can be especially affected.","पत्तियां ऊपर की ओर मुड़ सकती हैं, पीली हो सकती हैं और वृद्धि कम हो सकती है। नई पत्तियां विशेष रूप से प्रभावित हो सकती हैं।","Leaves upward curl ho sakti hain, yellow ho sakti hain aur growth reduce ho sakti hai. Young leaves especially affected ho sakti hain.",Remove severely affected plants where appropriate and use integrated management of the insect vector according to local recommendations.,जहां उचित हो गंभीर रूप से प्रभावित पौधों को हटाएं और स्थानीय सिफारिशों के अनुसार रोग फैलाने वाले कीट के एकीकृत प्रबंधन का उपयोग करें।,Jahan appropriate ho severely affected plants remove karo aur local recommendations ke according insect vector ka integrated management karo.,Use healthy planting material and monitor vector populations.,स्वस्थ रोपण सामग्री का उपयोग करें और रोग फैलाने वाले कीटों की संख्या की निगरानी करें।,Healthy planting material use karo aur vector populations ko monitor karo.,General plant pathology guidance
Wheat___Brown_Rust,Wheat,Brown Rust / Leaf Rust,Small orange-brown to reddish-brown rust pustules can appear on wheat leaves.,गेहूं की पत्तियों पर छोटे नारंगी-भूरे से लाल-भूरे रंग के रस्ट उभरे हुए धब्बे दिखाई दे सकते हैं।,Wheat leaves par small orange-brown se reddish-brown rust pustules aa sakte hain.,Monitor fields regularly and use resistant varieties where available. Follow local agricultural recommendations when disease is detected.,खेतों की नियमित निगरानी करें और जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें। बीमारी मिलने पर स्थानीय कृषि सिफारिशों का पालन करें।,Fields ko regularly monitor karo aur available ho to resistant varieties use karo. Disease detect hone par local agricultural recommendations follow karo.,Use suitable resistant varieties and maintain regular disease scouting.,उपयुक्त रोग-प्रतिरोधी किस्मों का उपयोग करें और नियमित रोग निगरानी बनाए रखें।,Suitable resistant varieties use karo aur regular disease scouting maintain karo.,ICAR
Wheat___Healthy,Wheat,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular field scouting and balanced irrigation and nutrition.,खेत की नियमित निगरानी जारी रखें और संतुलित सिंचाई तथा पोषण बनाए रखें।,Regular field scouting continue karo aur balanced irrigation aur nutrition maintain karo.,Use quality seed and monitor the crop throughout the season.,अच्छी गुणवत्ता वाले बीज का उपयोग करें और पूरे मौसम फसल की निगरानी करें।,Quality seed use karo aur poore season crop monitor karo.,General crop-health guidance
Wheat___Yellow_Rust,Wheat,Yellow Rust / Stripe Rust,Yellow to orange-yellow stripe-like rust symptoms can develop along wheat leaves.,गेहूं की पत्तियों पर पीले से नारंगी-पीले रंग की पट्टी जैसी रस्ट के लक्षण बन सकते हैं।,Wheat leaves par yellow se orange-yellow stripe-like rust symptoms develop ho sakte hain.,Monitor fields closely and follow current local agricultural recommendations when symptoms are detected.,खेतों की बारीकी से निगरानी करें और लक्षण मिलने पर वर्तमान स्थानीय कृषि सिफारिशों का पालन करें।,Fields ko closely monitor karo aur symptoms detect hone par current local agricultural recommendations follow karo.,Use resistant varieties where available and maintain regular field scouting.,जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें और नियमित खेत निगरानी बनाए रखें।,Available ho to resistant varieties use karo aur regular field scouting maintain karo.,ICAR
